#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-23T00:37:41 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-23T00:37:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-out.src=J/MNRAS/371/703/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/371/703/catalog&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=E(B-V)&-out=SpType&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73710703
#Name: J/MNRAS/371/703
#Title: MILES library of empirical spectra (Sanchez-Blazquez+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/mnras/371/703	    IVOID of underlying data collection
#INFO	creator=Sanchez-Blazquez P.	    First author or institution
#INFO	cites=bibcode:2006MNRAS.371..703S	    Article or Data origin sources
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/371/703	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73710703	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_371_703_catalog:
#Name: J/MNRAS/371/703/catalog
#Title: MILES star catalogue (08 Apr 2024 corrected version)
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a16)	Object name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	E(B-V)	(F6.3)	? Redenning	[ucd=phot.color.excess]
#Column	SpType	(a14)	MK spectral type	[ucd=src.spType]
_RAJ2000;_DEJ2000;Name;RAJ2000;DEJ2000;E(B-V);SpType
107.0176667;+29.8345000;HD053927        ;07 08 04.24;+29 50 04.2; 0.005;G5
107.0978333;-26.3931944;HD054605        ;07 08 23.48;-26 23 35.5; 0.209;F8Ia
107.5345833;+37.2760833;BD+371665       ;07 10 08.30;+37 16 33.9; 0.000;G5
107.5570000; -4.2371111;HD054810        ;07 10 13.68;-04 14 13.6; 0.006;K0III
107.7848750;+30.2451667;HD054719        ;07 11 08.37;+30 14 42.6; 0.020;K2III
108.0474167;-22.9835000;HD055496        ;07 12 11.38;-22 59 00.6; 0.020;GII:wp...
108.2611250;-24.2255833;HD055693        ;07 13 02.67;-24 13 32.1; 0.038;G1V
108.9589167;+47.2399722;HD055575        ;07 15 50.14;+47 14 23.9; 0.000;G0V
108.9616250;-13.0494722;HD056274        ;07 15 50.79;-13 02 58.1; 0.079;G5V
109.1534583;-23.3155833;HD056577        ;07 16 36.83;-23 18 56.1; 0.433;K4III
109.6682500;-24.5586944;HD057060        ;07 18 40.38;-24 33 31.3; 0.170;07Ia
109.6770417;-24.9543611;HD057061        ;07 18 42.49;-24 57 15.7; 0.142;09Ib
110.5109167;+36.7605833;HD057264        ;07 22 02.62;+36 45 38.1; 0.004;G8III
111.4316667;+27.7980833;HD058207        ;07 25 43.60;+27 47 53.1; 0.000;K0III
111.7093750;+21.5356389;HD058551        ;07 26 50.25;+21 32 08.3; 0.000;F6V
112.4642083;-23.0242778;HD059612        ;07 29 51.41;-23 01 27.4; 0.092;A5Ib
112.6209167;+18.9612778;HD059374        ;07 30 29.02;+18 57 40.6; 0.000;F8V
112.6719583;+24.0861667;BD+241676       ;07 30 41.27;+24 05 10.2; 0.010;F
113.0240000; -8.8813333;HD059984        ;07 32 05.76;-08 52 52.8; 0.023;F5V
113.0247917; +1.9144722;HD059881        ;07 32 05.95;+01 54 52.1; 0.030;F0III
113.1527083;-21.9304167;HD060219        ;07 32 36.65;-21 55 49.5; 0.138;F3IV
113.6495833;+31.8883333;HD060179        ;07 34 35.90;+31 53 18.0;      ;A1V
113.7206667;-10.3861389;LHS1930         ;07 34 52.96;-10 23 10.1; 0.005;G5
113.9806250;+26.8957500;HD060522        ;07 35 55.35;+26 53 44.7; 0.005;M0III-IIIb
114.3195417; -4.1109722;HD061064        ;07 37 16.69;-04 06 39.5; 0.020;F6III
114.9587917; -1.5223333;BD-011792       ;07 39 50.11;-01 31 20.4; 0.000;G6V
114.9972083; -3.5975000;HD061606        ;07 39 59.33;-03 35 51.0; 0.003;K2V
115.0967083;-15.2639167;HD061772        ;07 40 23.21;-15 15 50.1; 0.076;K3III
115.2438333;+23.0185278;HD061603        ;07 40 58.52;+23 01 06.7; 0.038;K5III
115.3117917; -9.5511389;HD061935        ;07 41 14.83;-09 33 04.1; 0.015;K0III
115.5134167;+14.2085000;HD061913        ;07 42 03.22;+14 12 30.6; 0.138;M3II-III
115.9331667; -0.0669167;BD+002058A      ;07 43 43.96;-00 04 00.9; 0.020;sd:F
116.1118750;+24.3980000;HD062345        ;07 44 26.85;+24 23 52.8; 0.011;G8IIIa
116.2341250;+39.5563611;HD062301        ;07 44 56.19;+39 33 22.9; 0.002;F8V
116.5310417;+18.5100278;HD062721        ;07 46 07.45;+18 30 36.1; 0.012;K5III
116.9105417;-15.9906944;HD063302        ;07 47 38.53;-15 59 26.5; 0.530;K3Iab
117.2576667;+13.3718611;HD063352        ;07 49 01.84;+13 22 18.7; 0.035;K0III
118.1583750;-18.5938056;BD-182065       ;07 52 38.01;-18 35 37.7; 0.000;
118.2719583;-11.6248333;HD064332        ;07 53 05.27;-11 37 29.4; 0.008;S?
118.3880000;+30.6050556;HD064090        ;07 53 33.12;+30 36 18.2; 0.000;sdG2
118.6196667;+62.1363333;HD063791        ;07 54 28.72;+62 08 10.8; 0.030;G0
118.6424167; -1.4122500;HD064606        ;07 54 34.18;-01 24 44.1; 0.000;G8V
118.9779583;+39.2867778;HD064488        ;07 55 54.71;+39 17 12.4; 0.041;A2
119.2147500;-22.8801111;HD065228        ;07 56 51.54;-22 52 48.4; 0.143;F7/F8II
120.1338750;+29.2123611;HD065583        ;08 00 32.13;+29 12 44.5; 0.000;G8V
120.2327917;+25.3928333;HD065714        ;08 00 55.87;+25 23 34.2; 0.038;G8III
120.3055417; -1.3926111;HD065953        ;08 01 13.33;-01 23 33.4; 0.001;K4III
120.3078750; +4.8798333;HD065900        ;08 01 13.89;+04 52 47.4; 0.006;A1V
120.5664167; +2.3345556;HD066141        ;08 02 15.94;+02 20 04.4; 0.023;K2III
121.1243333; +9.2679167;HD066573        ;08 04 29.84;+09 16 04.5; 0.020;G0
121.8860417;-24.3043333;HD067523        ;08 07 32.65;-24 18 15.6; 0.003;F2mp?
121.9410417;+21.5818056;HD067228        ;08 07 45.85;+21 34 54.5; 0.000;G1IV
122.7760000;+79.9082222;BD+800245       ;08 11 06.24;+79 54 29.6; 0.000;G0
122.9566250; +4.2745278;HD068284        ;08 11 49.59;+04 16 28.3; 0.008;F8
124.1288333; +9.1855556;HD069267        ;08 16 30.92;+09 11 08.0; 0.018;K4III
124.3722917; -3.9896111;HD069611        ;08 17 29.35;-03 59 22.6; 0.000;F8
124.5997917;-12.6321667;HD069830        ;08 18 23.95;-12 37 55.8; 0.051;K0V
124.8440417;+54.0860000;HD233511        ;08 19 22.57;+54 05 09.6; 0.000;sdF6
125.0160833;+27.2176944;HD069897        ;08 20 03.86;+27 13 03.7; 0.000;F6V
125.7087917;+43.1881389;HD070272        ;08 22 50.11;+43 11 17.3; 0.026;K5III
126.4578333;+17.0462778;HD071030        ;08 25 49.88;+17 02 46.6; 0.000;F6V
128.2290833;+38.0163611;HD072184        ;08 32 54.98;+38 00 58.9; 0.002;K2III
128.2504167;+24.0847778;HD072324        ;08 33 00.10;+24 05 05.2; 0.011;G9III
128.5067500; -2.1515556;HD072660        ;08 34 01.62;-02 09 05.6; 0.008;A1V
129.6893333; +3.3414444;HD073471        ;08 38 45.44;+03 20 29.2; 0.054;K2III
129.7987500;+65.0209167;HD072905        ;08 39 11.70;+65 01 15.3; 0.019;G1.5Vb
129.9269583;-29.5610833;HD073898        ;08 39 42.47;-29 33 39.9; 0.043;G4III
130.0267500;+20.0077778;HD073665        ;08 40 06.42;+20 00 28.0; 0.005;K0III
130.0939167;+51.7518056;HD073394        ;08 40 22.54;+51 45 06.5; 0.002;G5IIIw
130.2116667;-16.3451389;HD074000        ;08 40 50.80;-16 20 42.5; 0.000;F6VI
130.2544583;+45.8340000;HD073593        ;08 41 01.07;+45 50 02.4; 0.007;G8IV
130.6284167;+34.1876944;HD074011        ;08 42 30.82;+34 11 15.7; 0.006;F8
130.9182083; -7.2337222;HD074395        ;08 43 40.37;-07 14 01.4; 0.015;G2Iab
131.1028750;+24.7965833;BD+251981       ;08 44 24.69;+24 47 47.7; 0.000;F0
131.1712500;+18.1543056;HD074442        ;08 44 41.10;+18 09 15.5; 0.037;K0III
131.2933333;+41.6718333;HD074377        ;08 45 10.40;+41 40 18.6; 0.002;K3V
131.4969167;+13.2635000;HD074721        ;08 45 59.26;+13 15 48.6; 0.032;A0V
131.6649167;-13.3570556;BD-122669       ;08 46 39.58;-13 21 25.4; 0.010;A5
132.0860417;+67.4499722;HD074462        ;08 48 20.65;+67 26 59.9; 0.020;G5IV
132.3383750; +3.6840000;HD075318        ;08 49 21.21;+03 41 02.4; 0.000;G5
132.6330000;-27.7098333;HD075691        ;08 50 31.92;-27 42 35.4; 0.033;K3III
133.1492083;+28.3308056;HD075732        ;08 52 35.81;+28 19 50.9; 0.000;G8V
133.5747500; -5.4344444;HD076151        ;08 54 17.94;-05 26 04.0; 0.000;G2V
134.1271250;+40.2014722;HD076292        ;08 56 30.51;+40 12 05.3; 0.012;F3III
134.6830417;-16.1327222;HD076932        ;08 58 43.93;-16 07 57.8; 0.000;F7-8IV-V
134.7322083;+21.1662778;HD076780        ;08 58 55.73;+21 09 58.6; 0.064;G5
134.7640417; -6.3961667;BD-052678       ;08 59 03.37;-06 23 46.2; 0.010;F7
134.7749167; -0.6238611;HD076910        ;08 59 05.98;-00 37 25.9; 0.000;F5
134.7921250; -4.0268056;BD-032525       ;08 59 10.11;-04 01 36.5; 0.000;F3
134.8860417;+32.4185556;HD076813        ;08 59 32.65;+32 25 06.8; 0.331;G9III
135.3020417;-25.5270556;HD077338        ;09 01 12.49;-25 31 37.4; 0.029;K0IV
135.3115417; -2.5615833;HD077236        ;09 01 14.77;-02 33 41.7; 0.000;K0III
137.0120000;-25.8585278;HD078541        ;09 08 02.88;-25 51 30.7; 0.008;K4/K5III
137.0173333;+32.5403889;HD078234        ;09 08 04.16;+32 32 25.4; 0.014;F2V
137.1051667;-15.1447778;HD078558        ;09 08 25.24;-15 08 41.2; 0.000;G3V
137.2177500;+51.6046389;HD078209        ;09 08 52.26;+51 36 16.7; 0.000;Am
137.2640417;-27.0303611;HD078737        ;09 09 03.37;-27 01 49.3; 0.005;F3V
137.3982083; -8.7876389;HD078732        ;09 09 35.57;-08 47 15.5; 0.003;G8II
138.6033333;+52.6863611;HD079211        ;09 14 24.80;+52 41 10.9; 0.001;M0V
138.8093750;+34.6335278;HD079452        ;09 15 14.25;+34 38 00.7; 0.000;G6III
139.1129583;+18.8102500;HD079765        ;09 16 27.11;+18 48 36.9; 0.022;A3
139.2812500;+51.3221667;HD079633        ;09 17 07.50;+51 19 19.8; 0.005;A3
140.4303750;+56.6992222;HD080390        ;09 21 43.29;+56 41 57.2; 0.315;M4IIIa
140.7119167; -9.8388056;HD081009        ;09 22 50.86;-09 50 19.7; 0.095;A5spe..
140.8156667; +3.5013889;HD081029        ;09 23 15.76;+03 30 05.0; 0.065;F0
141.1888750;+19.7866389;HD081192        ;09 24 45.33;+19 47 11.9; 0.013;G7III
141.8968333; -8.6586111;HD081797        ;09 27 35.24;-08 39 31.0; 0.012;K3II-III
142.3148333; +8.6334722;BD+092190       ;09 29 15.56;+08 38 00.5; 0.010;A0
142.3850833; -4.2466389;HD082074        ;09 29 32.42;-04 14 47.9; 0.009;G6IV
143.1262083;-17.4357500;HD082590        ;09 32 30.29;-17 26 08.7; 0.026;F6:w?
143.3019167;-21.1157222;HD082734        ;09 33 12.46;-21 06 56.6; 0.031;K0III
143.6202500;+69.8303333;HD082210        ;09 34 28.86;+69 49 49.2; 0.030;G4III-IV
143.9145833;+35.8101389;HD082885        ;09 35 39.50;+35 48 36.5; 0.044;G8IV-V
144.0831250;-20.8874444;HD083212        ;09 36 19.95;-20 53 14.8; 0.025;G8:IIIw...
144.2720417;+81.3263889;HD081817        ;09 37 05.29;+81 19 35.0; 0.068;K3IIIa
144.6137083; +4.6492778;HD083425        ;09 38 27.29;+04 38 57.4; 0.018;K3III
144.9640000; -1.1428056;HD083618        ;09 39 51.36;-01 08 34.1; 0.020;K3III
145.1419167;+26.0038889;HD083632        ;09 40 34.06;+26 00 14.0; 0.069;K2III
145.5811250;+53.4739167;HD233666        ;09 42 19.47;+53 28 26.1; 0.040;G2we
145.7382917;+72.2526111;HD083506        ;09 42 57.19;+72 15 09.4; 0.080;K0III
146.4627917;+23.7742500;HD084441        ;09 45 51.07;+23 46 27.3; 0.010;G1II
147.1473750;+46.0210000;HD084737        ;09 48 35.37;+46 01 15.6; 0.000;G2V
147.2337500;+13.7442500;HD084937        ;09 48 56.10;+13 44 39.3; 0.000;F5VI
148.0265000;+54.0643333;HD085235        ;09 52 06.36;+54 03 51.6; 0.000;A3IV
148.1611667;+57.9162778;HD237846        ;09 52 38.68;+57 54 58.6; 0.011;F8
148.1909167;+26.0069444;HD085503        ;09 52 45.82;+26 00 25.0; 0.000;K0III
148.4135000;-22.8356667;HD085773        ;09 53 39.24;-22 50 08.4; 0.060;G:w?
150.6232083;+14.5570000;HD086986        ;10 02 29.57;+14 33 25.2; 0.030;A1V
151.1513333;+53.8917222;HD087141        ;10 04 36.32;+53 53 30.2; 0.030;F5V
151.1799167;+54.3453889;HD087140        ;10 04 43.18;+54 20 43.4; 0.000;K0
151.8331250;+16.7626667;HD087737        ;10 07 19.95;+16 45 45.6; 0.000;A0Ib
152.0662083;+31.6040556;HD087822        ;10 08 15.89;+31 36 14.6; 0.018;F4V
152.8422500;+49.4542222;HD088230        ;10 11 22.14;+49 27 15.2; 0.000;K7V
153.0795000;+17.2991667;HD088446        ;10 12 19.08;+17 17 57.0; 0.000;F8
153.5347083; +3.1513056;HD088725        ;10 14 08.33;+03 09 04.7; 0.000;G1V
153.6207500;+53.5609167;HD088609        ;10 14 28.98;+53 33 39.3; 0.000;G5IIIwe
153.6239583;+21.1680556;HD088737        ;10 14 29.75;+21 10 05.0; 0.000;F9V
154.1170000;+28.6824722;HD088986        ;10 16 28.08;+28 40 56.9; 0.000;G0V
154.1345417;+23.5030833;HD089010        ;10 16 32.29;+23 30 11.1; 0.025;G1.5IV-V
154.4075000; -8.0689167;HD089254        ;10 17 37.80;-08 04 08.1; 0.010;F2III
154.9340417;+19.4709167;HD089449        ;10 19 44.17;+19 28 15.3; 0.000;F6IV
154.9934583;+19.8412500;HD089484        ;10 19 58.43;+19 50 28.5; 0.046;K1IIIb
155.2082500;-15.4799167;HD089707        ;10 20 49.98;-15 28 47.7; 0.030;G1V
155.5440000;+41.2295278;HD089744        ;10 22 10.56;+41 13 46.3; 0.000;F7V
155.8108750; +5.6942500;HD089995        ;10 23 14.61;+05 41 39.3; 0.000;F6V
156.0327083;+65.5664167;HD089822B       ;10 24 07.85;+65 33 59.1; 0.008;A0sp?
157.0161667;+48.7848889;HD090508        ;10 28 03.88;+48 47 05.6; 0.000;G1V
157.6054583;+55.9991111;HD237903        ;10 30 25.31;+55 59 56.8; 0.000;K7 V
158.4606250;+49.1861667;HD091347        ;10 33 50.55;+49 11 10.2; 0.000;F8
159.1349167;-12.2301111;HD091889        ;10 36 32.38;-12 13 48.4; 0.010;F7V
160.7668333;+69.0762222;HD092523        ;10 43 04.04;+69 04 34.4; 0.016;K3III
161.6526667;+11.1841111;HD093329        ;10 46 36.64;+11 11 02.8; 0.025;A0
161.9813750;+23.3352778;HD093487        ;10 47 55.53;+23 20 07.0; 0.028;F8
162.8671667;+20.2775000;HD094028        ;10 51 28.12;+20 16 39.0; 0.000;F4V
164.6199167;-10.7703889;BD-103166       ;10 58 28.78;-10 46 13.4; 0.077;
164.8665417;+40.4302500;HD095128        ;10 59 27.97;+40 25 48.9; 0.000;G0V
165.4569583; -2.4845833;HD095578        ;11 01 49.67;-02 29 04.5; 0.033;M0III
165.8341250;+35.9698611;HD095735        ;11 03 20.19;+35 58 11.5; 0.000;M2V
166.3690833;+43.5267778;BD+442051A      ;11 05 28.58;+43 31 36.4;      ;M2 V
166.9699583;+68.3663611;HD096360        ;11 07 52.79;+68 21 58.9; 0.139;M?
168.1999583;+35.7288611;BD+362165       ;11 12 47.99;+35 43 43.9; 0.000;G0
168.4782083;+39.9777500;HD097560        ;11 13 54.77;+39 58 39.9; 0.007;G0
168.5600000;+15.4295556;HD097633        ;11 14 14.40;+15 25 46.4; 0.007;A2V
168.9662500;+13.3075833;HD097907        ;11 15 51.90;+13 18 27.3; 0.018;K3III
168.9759583; +2.0866944;HD097916        ;11 15 54.23;+02 05 12.1; 0.000;F5V
169.0167917;+52.7731667;HD097855        ;11 16 04.03;+52 46 23.4; 0.021;F6V+?
170.0005000;+28.8075833;HD098468        ;11 20 00.12;+28 48 27.3; 0.035;K0
170.0482917;-19.5778889;HD098553        ;11 20 11.59;-19 34 40.4; 0.000;G2/G3V
171.0723333; -1.5290833;HD099109        ;11 24 17.36;-01 31 44.7; 0.088;K0
171.5228333;+50.3757778;HD233832        ;11 26 05.48;+50 22 32.8; 0.006;K0V
171.9843333; +2.8562500;HD099648        ;11 27 56.24;+02 51 22.5; 0.051;G8II-III
172.2690000;+61.7783611;HD099747        ;11 29 04.56;+61 46 42.1; 0.000;F5Vawva
172.5787083; -3.0035000;HD099998        ;11 30 18.89;-03 00 12.6; 0.041;K4III
174.1767083;-18.9696111;HD100906        ;11 36 42.41;-18 58 10.6; 0.000;G8/K0w+...
174.7759167;+44.3056389;HD101227        ;11 39 06.22;+44 18 20.3; 0.000;G0
175.2625417;+34.2016389;HD101501        ;11 41 03.01;+34 12 05.9; 0.000;G8Vvar
175.3927500;+31.7460556;HD101606        ;11 41 34.26;+31 44 45.8; 0.020;F4V
176.5125417;+47.7794167;HD102224        ;11 46 03.01;+47 46 45.9; 0.040;K0 III
176.6464583;+50.8818611;BD+511696       ;11 46 35.15;+50 52 54.7; 0.005;sdG0
176.7317500;+55.6281944;HD102328        ;11 46 55.62;+55 37 41.5; 0.050;K3 III
177.2553333; -0.3186667;HD102634        ;11 49 01.28;-00 19 07.2; 0.000;F7 V
177.6738333; +1.7647222;HD102870        ;11 50 41.72;+01 45 53.0; 0.000;F9V
178.2448750;+37.7186667;HD103095        ;11 52 58.77;+37 43 07.2; 0.000;G8 Vp
178.9188750;+15.6468056;HD103578        ;11 55 40.53;+15 38 48.5; 0.034;A3V
179.4266250;+17.4678333;HD103877        ;11 57 42.39;+17 28 04.2; 0.095;Am
179.4842083;-27.7070278;HD103932        ;11 57 56.21;-27 42 25.3; 0.028;K5V
180.1759167;-21.8375000;HD104307        ;12 00 42.22;-21 50 15.0; 0.042;K2III
180.1852083;-10.4460000;HD104304        ;12 00 44.45;-10 26 45.6; 0.000;K0IV
181.0773750; -9.3583056;HD104833        ;12 04 18.57;-09 21 29.9; 0.068;F0
181.7951250;+12.9854722;HD105262        ;12 07 10.83;+12 59 07.7; 0.030;B9
182.1034167;-24.7288611;HD105452        ;12 08 24.82;-24 43 43.9; 0.028;F0IV/V
182.2613333;+59.0180833;HD105546        ;12 09 02.72;+59 01 05.1; 0.000;G2 IIIw
182.5706667;+16.3703611;HD105740        ;12 10 16.96;+16 22 13.3; 0.000;G5
183.0057083;+13.2612778;HD106038        ;12 12 01.37;+13 15 40.6; 0.000;F6V-VI
183.6239167;-29.5988056;CD-2809374      ;12 14 29.74;-29 35 55.7; 0.010;
183.7940000;-10.3123889;HD106516        ;12 15 10.56;-10 18 44.6; 0.000;F5V
184.2139167;+86.4358056;HD107113        ;12 16 51.34;+86 26 08.9; 0.000;F4V
184.8730417;+28.1569167;HD107213        ;12 19 29.53;+28 09 24.9; 0.000;F8 Vs
185.8833333;+16.9050000;BD+172473       ;12 23 32.00;+16 54 18.0;      ;G5
186.0833333;+30.7800000;BD+312360       ;12 24 20.00;+30 46 48.0;      ;G8III
186.3956250; +1.2839722;HD108177        ;12 25 34.95;+01 17 02.3; 0.000;F5 VI
187.0796667;-16.9110556;HD108564        ;12 28 19.12;-16 54 39.8; 0.016;K2V
187.7038750;+12.4867222;HD108915        ;12 30 48.93;+12 29 12.2; 0.001;K0
188.6947083;-23.4756111;HD109443        ;12 34 46.73;-23 28 32.2; 0.035;F0V
189.5542500; +1.9798889;HD109871        ;12 38 13.02;+01 58 47.6; 0.022;K2
189.6983333;+39.3087778;HD109995        ;12 38 47.60;+39 18 31.6; 0.000;A0 V (HB)
189.8115417; -7.9955556;HD110014        ;12 39 14.77;-07 59 44.0; 0.016;K2III
190.4150000; -1.4494167;HD110379        ;12 41 39.60;-01 26 57.9; 0.025;F0V+?
191.2475000;+39.2789167;HD110897        ;12 44 59.40;+39 16 44.1; 0.000;G0V
191.3302500; +1.0558611;HD110885        ;12 45 19.26;+01 03 21.1; 0.016;G0
192.3069167;+83.4128889;HD112028        ;12 49 13.66;+83 24 46.4; 0.071;A1 III
192.6815417; -0.7681389;HD111631        ;12 50 43.57;-00 46 05.3; 0.002;M0.5V
192.9912083;-26.7382778;HD111786        ;12 51 57.89;-26 44 17.8; 0.023;A0III
193.3127083;-18.5222222;HD111980        ;12 53 15.05;-18 31 20.0; 0.000;F7V
193.4822500;+26.7800000;HD112127        ;12 53 55.74;+26 46 48.0; 0.145;K2IIICN+?
194.0069583;+38.3183889;HD112413        ;12 56 01.67;+38 19 06.2; 0.005;A0 spe
194.9794583;+66.5972778;HD113092        ;12 59 55.07;+66 35 50.2; 0.024;K2 III
195.1612917;+18.3730000;HD113022        ;13 00 38.71;+18 22 22.8; 0.000;F6Vs
195.6582500; +5.1856667;HD113285        ;13 02 37.98;+05 11 08.4; 0.025;M8 III
196.9742083;-10.7404167;HD114038        ;13 07 53.81;-10 44 25.5; 0.041;K1III
197.4874583; -5.5390000;HD114330        ;13 09 56.99;-05 32 20.4; 0.022;A1V
197.8391667; +9.6259722;HD114606        ;13 11 21.40;+09 37 33.5; 0.000;G1V
197.9682917;+27.8781667;HD114710        ;13 11 52.39;+27 52 41.4; 0.013;F9.5V
198.0147500;-16.1986111;HD114642        ;13 12 03.54;-16 11 55.0; 0.000;F6V
198.5453750;-19.9309444;HD114946        ;13 14 10.89;-19 55 51.4; 0.027;G6 V
199.1937917; +9.4241667;HD115383        ;13 16 46.51;+09 25 27.0; 0.000;G0Vs
199.5564167;-14.5820833;HD115589        ;13 18 13.54;-14 34 55.5; 0.082;G8IV
199.6012917;-18.3111944;HD115617        ;13 18 24.31;-18 18 40.3; 0.000;G5V
199.7304167;-23.1715000;HD115659        ;13 18 55.30;-23 10 17.4; 0.000;G8III
200.4429583;-18.7421111;HD116114        ;13 21 46.31;-18 44 31.6; 0.056;Ap
200.6422917;+26.1156944;HD116316        ;13 22 34.15;+26 06 56.5; 0.002;F5V
201.1006667; -2.3152500;HD116544        ;13 24 24.16;-02 18 54.9; 0.011;K5
201.7692083;+64.7355278;HD117200        ;13 27 04.61;+64 44 07.9; 0.011;F0
202.1075417;+13.7787778;HD117176        ;13 28 25.81;+13 46 43.6; 0.000;G5 V
202.9164167; -2.3173889;HD117635        ;13 31 39.94;-02 19 02.6; 0.000;G9V
203.2008750;+24.3467500;HD117876        ;13 32 48.21;+24 20 48.3; 0.003;G8III
203.6662917;-16.3229722;HD118055        ;13 34 39.91;-16 19 22.7; 0.030;K0 IIIw
203.6800000; -8.3420278;HD118100        ;13 34 43.20;-08 20 31.3; 0.000;K7V
203.7975833;+22.4997222;HD118244        ;13 35 11.42;+22 29 59.0; 0.020;F5V
204.6031667;+29.3655556;BD+302431       ;13 38 24.76;+29 21 56.0; 0.046;A2
205.1844583;+54.6816389;HD119228        ;13 40 44.27;+54 40 53.9; 0.008;M2III
205.5531667; +8.3883889;HD119288        ;13 42 12.76;+08 23 18.2; 0.000;F3Vp
205.6085000; -1.6862778;HD119291        ;13 42 26.04;-01 41 10.6; 0.066;K7V
206.1880833; -3.5333889;HD119667        ;13 44 45.14;-03 32 00.2; 0.044;K5
206.8155833;+17.4569167;HD120136        ;13 47 15.74;+17 27 24.9; 0.000;F7 V
207.8580833;+64.7232778;HD121130        ;13 51 25.94;+64 43 23.8; 0.086;M3III
207.9477917;+34.4442500;HD120933        ;13 51 47.47;+34 26 39.3; 0.113;K5III
208.6711667;+18.3977222;HD121370        ;13 54 41.08;+18 23 51.8; 0.005;G0 IV
208.6756250; -1.5031111;HD121299        ;13 54 42.15;-01 30 11.2; 0.019;K2III
208.7275833;-26.0157778;HD121258        ;13 54 54.62;-26 00 56.8; 0.283;G5
209.7895000;+33.8609444;BD+342476       ;13 59 09.48;+33 51 39.4; 0.000;A4
209.9553333; -3.5497778;HD122106        ;13 59 49.28;-03 32 59.2; 0.024;F8V
210.6327083; +9.6860833;HD122563        ;14 02 31.85;+09 41 09.9; 0.003;F8 IV
210.8847917;+10.7867778;HD122742        ;14 03 32.35;+10 47 12.4; 0.033;G8V
211.0972917;+64.3758611;HD123299        ;14 04 23.35;+64 22 33.1; 0.006;A0 III
211.3042500;-14.8570833;HD122956        ;14 05 13.02;-14 51 25.5; 0.000;G6 IV-Vw
211.9823333;+43.8544444;HD123657        ;14 07 55.76;+43 51 16.0; 0.000;M4 III
212.1143750;+51.5923611;HD123821        ;14 08 27.45;+51 35 32.5; 0.067;G8IIIp
212.8130000;+32.2958889;HD124186        ;14 11 15.12;+32 17 45.2; 0.000;K4 III
213.1885000; -3.3200833;HD124292        ;14 12 45.24;-03 19 12.3; 0.000;G0
213.9152917;+19.1824167;HD124897        ;14 15 39.67;+19 10 56.7; 0.000;K2 IIIp
214.0036250; -6.0005556;HD124850        ;14 16 00.87;-06 00 02.0; 0.000;F7 IV
214.5030417; -7.5423889;HD125184        ;14 18 00.73;-07 32 32.6; 0.000;F9V
214.8178333;+13.0043056;HD125451        ;14 19 16.28;+13 00 15.5; 0.000;F5IV
215.4385833; +0.7831111;BD+012916       ;14 21 45.26;+00 46 59.2; 0.030;KIIvw
215.7784167;+25.3381667;HD126141        ;14 23 06.82;+25 20 17.4; 0.000;F5V
215.8136667; +1.2415556;HD126053        ;14 23 15.28;+01 14 29.6; 0.000;G1V
216.0484583;+25.7037222;HD126327        ;14 24 11.63;+25 42 13.4; 0.000;M7.5 III
216.2026250;-24.8063056;HD126218        ;14 24 48.63;-24 48 22.7; 0.005;K0III
216.2991667;+51.8507500;HD126660        ;14 25 11.80;+51 51 02.7; 0.013;F7 V
216.7011667; -5.1777778;HD126614        ;14 26 48.28;-05 10 40.0; 0.055;K0
